clean_acc,fgsm_Linf_acc0_1,fgsm_Linf_acc0_5,fgsm_Linf_acc1_0,fgsm_Linf_acc2_0,fgsm_Linf_acc3_0,fgsm_Linf_acc4_0,fgsm_Linf_acc5_0,fgsm_Linf_acc6_0,fgsm_Linf_acc7_0,fgsm_Linf_acc8_0,fgsm_Linf_acc255_0,pgd_Linf_acc0_1,pgd_Linf_acc0_5,pgd_Linf_acc1_0,pgd_Linf_acc2_0,pgd_Linf_acc3_0,pgd_Linf_acc4_0,pgd_Linf_acc8_0,aa_apgd_ce_Linf_acc0_1,aa_apgd_ce_Linf_acc0_5,aa_apgd_ce_Linf_acc1_0,aa_apgd_ce_Linf_acc2_0,aa_apgd_ce_Linf_acc3_0,aa_apgd_ce_Linf_acc4_0,aa_apgd_ce_Linf_acc8_0,aa_square_Linf_acc0_1,aa_square_Linf_acc0_5,aa_square_Linf_acc1_0,aa_square_Linf_acc2_0,aa_square_Linf_acc3_0,aa_square_Linf_acc4_0,aa_square_Linf_acc8_0
0.856,0.806,0.582,0.35,0.13,0.066,0.046,0.038,0.038,0.042,0.048,0.102,0.812,0.582,0.295,0.034,0.002,0.0,0.0,0.804,0.524,0.186,0.005,0.0,0.0,0.0,0.835,0.75,0.614,0.335,0.151,0.057,0.005
0.938,0.887,0.716,0.619,0.532,0.491,0.463,0.44,0.423,0.402,0.381,0.1,0.891,0.637,0.378,0.125,0.046,0.017,0.001,0.883,0.508,0.161,0.013,0.001,0.0,0.0,0.919,0.82,0.657,0.361,0.187,0.098,0.01
0.858,0.819,0.639,0.431,0.195,0.1,0.062,0.047,0.038,0.033,0.032,0.096,0.824,0.643,0.391,0.087,0.012,0.001,0.0,0.818,0.599,0.292,0.026,0.001,0.0,0.0,0.841,0.77,0.654,0.4,0.199,0.087,0.006
0.868,0.819,0.572,0.317,0.098,0.034,0.017,0.012,0.01,0.008,0.009,0.099,0.824,0.572,0.258,0.023,0.001,0.0,0.0,0.817,0.506,0.159,0.003,0.0,0.0,0.0,0.846,0.744,0.57,0.263,0.094,0.029,0.002
0.881,0.83,0.574,0.337,0.136,0.078,0.057,0.051,0.046,0.047,0.046,0.098,0.833,0.556,0.234,0.02,0.001,0.0,0.0,0.826,0.475,0.117,0.002,0.0,0.0,0.0,0.859,0.754,0.589,0.278,0.108,0.034,0.003
0.914,0.871,0.673,0.503,0.352,0.301,0.283,0.271,0.259,0.251,0.247,0.095,0.874,0.645,0.347,0.088,0.03,0.011,0.0,0.868,0.563,0.186,0.017,0.002,0.0,0.0,0.899,0.8,0.669,0.359,0.167,0.081,0.011
0.927,0.88,0.685,0.555,0.45,0.41,0.383,0.368,0.353,0.336,0.319,0.101,0.884,0.642,0.372,0.126,0.052,0.024,0.001,0.877,0.544,0.185,0.024,0.004,0.0,0.0,0.909,0.816,0.662,0.368,0.187,0.097,0.014
0.918,0.866,0.628,0.44,0.302,0.253,0.233,0.219,0.21,0.207,0.197,0.106,0.871,0.56,0.228,0.032,0.004,0.001,0.0,0.86,0.438,0.085,0.002,0.0,0.0,0.0,0.898,0.783,0.603,0.265,0.107,0.042,0.003
0.921,0.871,0.661,0.501,0.387,0.342,0.317,0.302,0.291,0.274,0.26,0.099,0.874,0.603,0.297,0.07,0.021,0.007,0.0,0.866,0.484,0.119,0.006,0.0,0.0,0.0,0.902,0.795,0.616,0.298,0.129,0.061,0.006
0.863,0.811,0.556,0.296,0.08,0.025,0.012,0.009,0.007,0.007,0.007,0.074,0.818,0.554,0.246,0.02,0.001,0.0,0.0,0.808,0.488,0.147,0.003,0.0,0.0,0.0,0.841,0.74,0.57,0.265,0.093,0.027,0.002
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
