clean_acc,fgsm_Linf_acc0_1,fgsm_Linf_acc0_5,fgsm_Linf_acc1_0,fgsm_Linf_acc2_0,fgsm_Linf_acc3_0,fgsm_Linf_acc4_0,fgsm_Linf_acc5_0,fgsm_Linf_acc6_0,fgsm_Linf_acc7_0,fgsm_Linf_acc8_0,fgsm_Linf_acc255_0,pgd_Linf_acc0_1,pgd_Linf_acc0_5,pgd_Linf_acc1_0,pgd_Linf_acc2_0,pgd_Linf_acc3_0,pgd_Linf_acc4_0,pgd_Linf_acc8_0,aa_apgd_ce_Linf_acc0_1,aa_apgd_ce_Linf_acc0_5,aa_apgd_ce_Linf_acc1_0,aa_apgd_ce_Linf_acc2_0,aa_apgd_ce_Linf_acc3_0,aa_apgd_ce_Linf_acc4_0,aa_apgd_ce_Linf_acc8_0,aa_square_Linf_acc0_1,aa_square_Linf_acc0_5,aa_square_Linf_acc1_0,aa_square_Linf_acc2_0,aa_square_Linf_acc3_0,aa_square_Linf_acc4_0,aa_square_Linf_acc8_0
0.519,0.453,0.239,0.119,0.052,0.038,0.033,0.031,0.029,0.027,0.026,0.012,0.459,0.229,0.074,0.007,0.001,0.0,0.0,0.45,0.182,0.034,0.002,0.0,0.0,0.0,0.502,0.385,0.248,0.1,0.042,0.023,0.003
0.706,0.577,0.282,0.178,0.123,0.105,0.094,0.086,0.081,0.076,0.072,0.01,0.581,0.194,0.045,0.004,0.001,0.0,0.0,0.559,0.114,0.012,0.0,0.0,0.0,0.0,0.666,0.434,0.227,0.067,0.027,0.014,0.002
0.545,0.495,0.316,0.183,0.079,0.043,0.029,0.021,0.02,0.018,0.017,0.01,0.499,0.314,0.151,0.026,0.005,0.0,0.0,0.493,0.276,0.098,0.009,0.0,0.0,0.0,0.531,0.433,0.318,0.153,0.08,0.039,0.006
0.58,0.52,0.309,0.159,0.05,0.025,0.016,0.011,0.009,0.008,0.007,0.008,0.525,0.311,0.132,0.017,0.002,0.0,0.0,0.519,0.263,0.077,0.004,0.0,0.0,0.0,0.567,0.446,0.303,0.131,0.052,0.026,0.002
0.6,0.52,0.273,0.134,0.054,0.034,0.024,0.018,0.015,0.014,0.013,0.01,0.526,0.255,0.077,0.004,0.001,0.0,0.0,0.515,0.196,0.031,0.001,0.0,0.0,0.0,0.581,0.425,0.262,0.099,0.034,0.016,0.003
0.664,0.565,0.292,0.156,0.081,0.066,0.059,0.059,0.057,0.055,0.051,0.011,0.572,0.255,0.07,0.006,0.001,0.0,0.0,0.56,0.182,0.026,0.001,0.0,0.0,0.0,0.637,0.469,0.28,0.093,0.033,0.015,0.002
0.683,0.56,0.275,0.162,0.106,0.09,0.08,0.076,0.071,0.067,0.063,0.01,0.568,0.195,0.04,0.003,0.0,0.0,0.0,0.547,0.117,0.013,0.0,0.0,0.0,0.0,0.651,0.434,0.226,0.073,0.025,0.013,0.003
0.673,0.549,0.261,0.136,0.077,0.062,0.051,0.049,0.048,0.045,0.045,0.01,0.556,0.191,0.039,0.003,0.001,0.001,0.0,0.535,0.113,0.011,0.0,0.0,0.0,0.0,0.642,0.422,0.226,0.062,0.019,0.01,0.002
0.681,0.551,0.266,0.156,0.096,0.076,0.068,0.061,0.059,0.055,0.053,0.008,0.556,0.191,0.037,0.003,0.001,0.0,0.0,0.535,0.12,0.011,0.0,0.0,0.0,0.0,0.639,0.411,0.217,0.058,0.019,0.009,0.001
0.578,0.514,0.3,0.148,0.049,0.026,0.018,0.013,0.01,0.009,0.008,0.004,0.519,0.297,0.117,0.012,0.002,0.0,0.0,0.512,0.248,0.06,0.003,0.0,0.0,0.0,0.564,0.45,0.303,0.126,0.053,0.023,0.003
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.673,0.566,0.304,0.207,0.155,0.14,0.126,0.114,0.103,0.096,0.091,0.008,0.571,0.228,0.064,0.007,0.001,0.0,0.0,0.552,0.147,0.02,0.001,0.0,0.0,0.0,0.651,0.451,0.263,0.097,0.039,0.021,0.005
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.674,0.559,0.272,0.152,0.095,0.079,0.072,0.065,0.059,0.058,0.056,0.009,0.565,0.202,0.044,0.003,0.0,0.0,0.0,0.547,0.128,0.016,0.0,0.0,0.0,0.0,0.646,0.436,0.234,0.072,0.027,0.014,0.002
0.671,0.559,0.284,0.167,0.107,0.088,0.081,0.072,0.066,0.062,0.057,0.01,0.565,0.213,0.051,0.003,0.0,0.0,0.0,0.547,0.139,0.017,0.0,0.0,0.0,0.0,0.646,0.442,0.246,0.085,0.032,0.017,0.003
0.318,0.305,0.254,0.205,0.129,0.083,0.054,0.035,0.024,0.018,0.015,0.01,0.306,0.259,0.211,0.132,0.076,0.041,0.002,0.305,0.252,0.198,0.108,0.05,0.022,0.0,0.314,0.278,0.235,0.167,0.115,0.076,0.018
0.695,0.563,0.273,0.178,0.125,0.106,0.093,0.084,0.077,0.072,0.068,0.01,0.566,0.177,0.037,0.004,0.001,0.001,0.0,0.543,0.1,0.01,0.0,0.0,0.0,0.0,0.656,0.408,0.22,0.067,0.025,0.012,0.003
0.646,0.553,0.304,0.173,0.098,0.081,0.072,0.069,0.063,0.06,0.062,0.01,0.559,0.266,0.081,0.009,0.002,0.0,0.0,0.547,0.197,0.035,0.003,0.0,0.0,0.0,0.62,0.455,0.282,0.099,0.036,0.016,0.002
0.652,0.56,0.289,0.17,0.106,0.085,0.071,0.067,0.06,0.059,0.055,0.009,0.564,0.248,0.076,0.009,0.001,0.0,0.0,0.551,0.181,0.03,0.002,0.0,0.0,0.0,0.628,0.447,0.269,0.092,0.035,0.018,0.002
0.624,0.559,0.359,0.219,0.106,0.071,0.054,0.048,0.044,0.041,0.039,0.012,0.564,0.352,0.164,0.029,0.006,0.002,0.0,0.557,0.302,0.098,0.009,0.001,0.0,0.0,0.608,0.481,0.341,0.152,0.064,0.033,0.004
0.642,0.558,0.315,0.166,0.072,0.049,0.039,0.033,0.031,0.029,0.027,0.011,0.564,0.295,0.102,0.011,0.001,0.0,0.0,0.554,0.236,0.048,0.002,0.0,0.0,0.0,0.621,0.472,0.31,0.122,0.045,0.02,0.003
0.689,0.569,0.288,0.168,0.112,0.096,0.088,0.082,0.076,0.07,0.067,0.01,0.575,0.206,0.046,0.003,0.0,0.0,0.0,0.556,0.121,0.012,0.0,0.0,0.0,0.0,0.654,0.434,0.233,0.07,0.024,0.012,0.002
0.633,0.534,0.266,0.131,0.068,0.054,0.048,0.045,0.042,0.039,0.038,0.01,0.54,0.237,0.064,0.005,0.001,0.0,0.0,0.528,0.168,0.027,0.001,0.0,0.0,0.0,0.606,0.439,0.267,0.09,0.03,0.016,0.003
0.63,0.531,0.266,0.138,0.073,0.055,0.051,0.045,0.045,0.042,0.04,0.01,0.538,0.228,0.06,0.004,0.001,0.0,0.0,0.526,0.162,0.021,0.001,0.0,0.0,0.0,0.606,0.435,0.266,0.09,0.035,0.015,0.003
0.544,0.488,0.308,0.173,0.071,0.041,0.031,0.025,0.022,0.021,0.019,0.01,0.493,0.309,0.142,0.023,0.003,0.0,0.0,0.487,0.267,0.09,0.005,0.0,0.0,0.0,0.531,0.436,0.321,0.157,0.078,0.04,0.005
0.58,0.52,0.309,0.159,0.05,0.025,0.016,0.011,0.009,0.008,0.007,0.008,0.525,0.311,0.132,0.017,0.002,0.0,0.0,0.519,0.263,0.077,0.004,0.0,0.0,0.0,0.567,0.446,0.303,0.131,0.052,0.026,0.002
