clean_acc,fgsm_Linf_acc0_1,fgsm_Linf_acc0_5,fgsm_Linf_acc1_0,fgsm_Linf_acc2_0,fgsm_Linf_acc3_0,fgsm_Linf_acc4_0,fgsm_Linf_acc5_0,fgsm_Linf_acc6_0,fgsm_Linf_acc7_0,fgsm_Linf_acc8_0,fgsm_Linf_acc255_0,pgd_Linf_acc0_1,pgd_Linf_acc0_5,pgd_Linf_acc1_0,pgd_Linf_acc2_0,pgd_Linf_acc3_0,pgd_Linf_acc4_0,pgd_Linf_acc8_0,aa_apgd_ce_Linf_acc0_1,aa_apgd_ce_Linf_acc0_5,aa_apgd_ce_Linf_acc1_0,aa_apgd_ce_Linf_acc2_0,aa_apgd_ce_Linf_acc3_0,aa_apgd_ce_Linf_acc4_0,aa_apgd_ce_Linf_acc8_0,aa_square_Linf_acc0_1,aa_square_Linf_acc0_5,aa_square_Linf_acc1_0,aa_square_Linf_acc2_0,aa_square_Linf_acc3_0,aa_square_Linf_acc4_0,aa_square_Linf_acc8_0
0.277,0.206,0.064,0.025,0.012,0.01,0.011,0.012,0.013,0.012,0.013,0.008,0.21,0.054,0.01,0.001,0.0,0.0,0.0,0.203,0.034,0.003,0.0,0.0,0.0,0.0,0.239,0.072,0.022,0.003,0.002,0.0,0.0
0.451,0.291,0.085,0.045,0.038,0.034,0.033,0.031,0.025,0.023,0.02,0.009,0.293,0.042,0.005,0.0,0.0,0.0,0.0,0.265,0.015,0.0,0.0,0.0,0.0,0.0,0.324,0.068,0.015,0.005,0.002,0.001,0.0
0.276,0.222,0.098,0.047,0.02,0.015,0.016,0.016,0.015,0.016,0.017,0.008,0.227,0.091,0.025,0.002,0.0,0.0,0.0,0.22,0.069,0.008,0.0,0.0,0.0,0.0,0.243,0.108,0.044,0.011,0.004,0.002,0.0
0.289,0.226,0.09,0.036,0.012,0.011,0.011,0.011,0.011,0.009,0.009,0.008,0.23,0.082,0.02,0.001,0.0,0.0,0.0,0.223,0.058,0.008,0.0,0.0,0.0,0.0,0.248,0.092,0.029,0.005,0.002,0.001,0.0
0.314,0.229,0.073,0.03,0.015,0.012,0.013,0.015,0.014,0.014,0.016,0.008,0.235,0.058,0.009,0.0,0.0,0.0,0.0,0.221,0.03,0.002,0.0,0.0,0.0,0.0,0.254,0.073,0.02,0.005,0.002,0.001,0.0
0.385,0.261,0.072,0.036,0.023,0.026,0.022,0.019,0.018,0.016,0.015,0.009,0.267,0.047,0.007,0.0,0.0,0.0,0.0,0.248,0.024,0.001,0.0,0.0,0.0,0.0,0.286,0.074,0.02,0.007,0.001,0.001,0.0
0.392,0.264,0.085,0.044,0.033,0.034,0.028,0.027,0.022,0.021,0.02,0.008,0.269,0.049,0.005,0.0,0.0,0.0,0.0,0.249,0.022,0.001,0.0,0.0,0.0,0.0,0.296,0.078,0.017,0.003,0.003,0.001,0.0
0.396,0.268,0.08,0.038,0.024,0.025,0.023,0.022,0.022,0.024,0.021,0.008,0.273,0.041,0.004,0.0,0.0,0.0,0.0,0.252,0.015,0.0,0.0,0.0,0.0,0.0,0.296,0.075,0.018,0.004,0.004,0.001,0.0
0.412,0.279,0.084,0.042,0.033,0.034,0.029,0.022,0.022,0.019,0.015,0.008,0.282,0.048,0.004,0.0,0.0,0.0,0.0,0.262,0.02,0.0,0.0,0.0,0.0,0.0,0.3,0.078,0.02,0.006,0.003,0.002,0.0
0.292,0.231,0.091,0.036,0.011,0.006,0.006,0.006,0.006,0.007,0.006,0.009,0.236,0.086,0.023,0.002,0.0,0.0,0.0,0.23,0.064,0.01,0.001,0.0,0.0,0.0,0.253,0.099,0.027,0.006,0.003,0.002,0.0
