brightness,contrast,defocus_blur,elastic_transform,fog,frost,gaussian_noise,glass_blur,impulse_noise,jpeg_compression,motion_blur,pixelate,shot_noise,snow,zoom_blur
0.346,0.074,0.176,0.186,0.122,0.144,0.073,0.091,0.124,0.242,0.123,0.149,0.098,0.223,0.132
0.594,0.266,0.413,0.384,0.394,0.265,0.097,0.155,0.165,0.314,0.272,0.358,0.135,0.388,0.311
0.4,0.104,0.259,0.257,0.173,0.172,0.08,0.135,0.129,0.29,0.187,0.225,0.109,0.251,0.214
0.425,0.106,0.26,0.26,0.182,0.192,0.078,0.136,0.13,0.29,0.183,0.273,0.104,0.272,0.214
0.451,0.119,0.295,0.284,0.196,0.207,0.082,0.13,0.13,0.301,0.199,0.267,0.114,0.296,0.244
0.525,0.17,0.348,0.325,0.292,0.221,0.069,0.119,0.131,0.304,0.224,0.342,0.1,0.327,0.273
0.575,0.241,0.36,0.349,0.368,0.239,0.085,0.126,0.127,0.292,0.236,0.316,0.124,0.376,0.261
0.572,0.238,0.389,0.373,0.352,0.258,0.082,0.141,0.174,0.311,0.259,0.332,0.119,0.356,0.309
0.557,0.229,0.386,0.367,0.346,0.234,0.062,0.14,0.165,0.33,0.254,0.316,0.093,0.353,0.293
0.428,0.099,0.26,0.254,0.177,0.185,0.068,0.129,0.126,0.297,0.174,0.282,0.094,0.268,0.21
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.562,0.258,0.398,0.38,0.37,0.242,0.102,0.158,0.177,0.336,0.274,0.373,0.141,0.363,0.306
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.557,0.249,0.385,0.364,0.362,0.249,0.078,0.144,0.163,0.306,0.262,0.34,0.106,0.351,0.292
0.553,0.228,0.401,0.379,0.344,0.241,0.096,0.157,0.198,0.336,0.268,0.348,0.132,0.346,0.316
0.144,0.029,0.121,0.115,0.045,0.078,0.132,0.12,0.13,0.121,0.105,0.128,0.131,0.112,0.116
0.578,0.233,0.361,0.346,0.361,0.252,0.097,0.126,0.158,0.301,0.231,0.317,0.132,0.368,0.276
0.511,0.177,0.312,0.306,0.282,0.251,0.078,0.153,0.143,0.324,0.212,0.302,0.112,0.338,0.237
0.533,0.189,0.344,0.332,0.304,0.235,0.081,0.142,0.179,0.296,0.236,0.325,0.118,0.337,0.273
0.486,0.154,0.329,0.329,0.252,0.256,0.106,0.216,0.159,0.346,0.221,0.365,0.151,0.346,0.275
0.509,0.176,0.337,0.334,0.283,0.226,0.087,0.128,0.171,0.338,0.247,0.364,0.128,0.316,0.292
0.562,0.221,0.389,0.363,0.344,0.243,0.074,0.151,0.154,0.316,0.249,0.335,0.111,0.364,0.293
0.518,0.185,0.344,0.329,0.286,0.233,0.07,0.132,0.138,0.299,0.215,0.313,0.1,0.329,0.271
0.522,0.178,0.347,0.337,0.284,0.215,0.054,0.124,0.187,0.308,0.219,0.313,0.078,0.314,0.268
0.382,0.076,0.232,0.232,0.147,0.177,0.081,0.128,0.116,0.272,0.15,0.182,0.112,0.236,0.19
0.425,0.106,0.26,0.26,0.182,0.192,0.078,0.136,0.13,0.29,0.183,0.273,0.104,0.272,0.214
0.527,0.209,0.32,0.322,0.32,0.225,0.063,0.143,0.162,0.314,0.222,0.293,0.092,0.333,0.255
0.49,0.168,0.333,0.321,0.268,0.218,0.068,0.149,0.116,0.283,0.212,0.296,0.095,0.32,0.258
0.364,0.085,0.219,0.218,0.142,0.161,0.068,0.108,0.11,0.258,0.139,0.179,0.103,0.228,0.177
0.486,0.154,0.329,0.329,0.252,0.256,0.106,0.216,0.159,0.346,0.221,0.365,0.151,0.346,0.275
0.553,0.228,0.401,0.379,0.344,0.241,0.096,0.157,0.198,0.336,0.268,0.348,0.132,0.346,0.316
0.558,0.201,0.364,0.346,0.324,0.236,0.081,0.136,0.159,0.301,0.228,0.335,0.112,0.331,0.272
0.551,0.212,0.362,0.34,0.328,0.247,0.064,0.148,0.144,0.308,0.254,0.306,0.101,0.358,0.28
0.554,0.223,0.358,0.349,0.335,0.244,0.082,0.152,0.198,0.293,0.233,0.324,0.113,0.354,0.273
0.565,0.233,0.388,0.366,0.353,0.251,0.076,0.145,0.182,0.313,0.253,0.346,0.112,0.348,0.293
0.538,0.217,0.375,0.359,0.335,0.238,0.075,0.167,0.182,0.316,0.265,0.352,0.108,0.343,0.302
0.53,0.192,0.332,0.32,0.301,0.219,0.073,0.119,0.196,0.307,0.207,0.302,0.106,0.336,0.236
0.506,0.148,0.35,0.345,0.255,0.218,0.074,0.127,0.164,0.335,0.236,0.324,0.105,0.323,0.296
0.575,0.26,0.377,0.362,0.375,0.257,0.101,0.154,0.197,0.317,0.25,0.342,0.138,0.371,0.28
0.478,0.152,0.3,0.299,0.238,0.192,0.06,0.129,0.138,0.306,0.199,0.305,0.086,0.292,0.242
0.304,0.057,0.273,0.254,0.103,0.209,0.256,0.267,0.23,0.251,0.24,0.285,0.268,0.248,0.267
0.447,0.139,0.271,0.276,0.225,0.173,0.053,0.115,0.142,0.269,0.191,0.271,0.074,0.267,0.22
0.588,0.246,0.396,0.373,0.375,0.256,0.087,0.138,0.178,0.318,0.246,0.341,0.116,0.386,0.288
0.566,0.244,0.401,0.376,0.362,0.251,0.082,0.148,0.202,0.323,0.264,0.341,0.114,0.358,0.314
0.308,0.064,0.244,0.232,0.113,0.2,0.22,0.229,0.196,0.274,0.184,0.293,0.243,0.225,0.225
0.482,0.163,0.314,0.307,0.258,0.198,0.064,0.126,0.15,0.317,0.204,0.299,0.095,0.303,0.249
0.546,0.185,0.342,0.335,0.31,0.239,0.072,0.132,0.141,0.298,0.22,0.331,0.11,0.331,0.251
0.535,0.186,0.36,0.347,0.31,0.222,0.069,0.112,0.16,0.299,0.22,0.32,0.101,0.332,0.272
0.411,0.1,0.228,0.229,0.173,0.172,0.074,0.125,0.108,0.275,0.177,0.219,0.105,0.261,0.192
0.548,0.196,0.356,0.342,0.313,0.221,0.078,0.114,0.16,0.285,0.216,0.32,0.104,0.333,0.263
0.571,0.238,0.39,0.376,0.357,0.296,0.118,0.18,0.231,0.372,0.273,0.389,0.159,0.385,0.31
0.48,0.142,0.311,0.306,0.237,0.226,0.075,0.133,0.144,0.332,0.217,0.331,0.106,0.297,0.251
0.591,0.249,0.397,0.38,0.37,0.264,0.08,0.132,0.166,0.314,0.271,0.323,0.124,0.384,0.305
0.078,0.044,0.062,0.06,0.024,0.048,0.06,0.06,0.06,0.061,0.061,0.063,0.063,0.058,0.061
0.522,0.187,0.33,0.314,0.303,0.224,0.073,0.128,0.149,0.284,0.2,0.311,0.112,0.344,0.244
0.414,0.094,0.258,0.256,0.17,0.17,0.067,0.115,0.136,0.284,0.181,0.316,0.088,0.259,0.217
0.577,0.222,0.36,0.348,0.345,0.241,0.066,0.15,0.14,0.288,0.235,0.318,0.096,0.372,0.272
0.308,0.062,0.268,0.252,0.11,0.212,0.25,0.265,0.222,0.243,0.235,0.278,0.261,0.245,0.261
0.169,0.03,0.145,0.138,0.053,0.091,0.156,0.143,0.149,0.14,0.123,0.154,0.159,0.128,0.138
0.51,0.143,0.315,0.311,0.266,0.259,0.085,0.155,0.146,0.341,0.212,0.299,0.117,0.34,0.232
0.457,0.143,0.276,0.274,0.226,0.189,0.071,0.131,0.154,0.273,0.182,0.269,0.095,0.278,0.224
0.494,0.149,0.344,0.326,0.251,0.271,0.146,0.194,0.206,0.347,0.23,0.385,0.202,0.329,0.284
0.557,0.232,0.371,0.354,0.344,0.25,0.076,0.156,0.175,0.306,0.246,0.337,0.105,0.362,0.269
0.577,0.237,0.394,0.368,0.358,0.266,0.109,0.164,0.186,0.323,0.247,0.391,0.153,0.38,0.303
0.591,0.25,0.406,0.385,0.374,0.272,0.092,0.16,0.187,0.328,0.274,0.367,0.13,0.376,0.301
0.588,0.244,0.401,0.376,0.358,0.268,0.107,0.162,0.197,0.316,0.257,0.334,0.15,0.37,0.296
0.305,0.063,0.274,0.256,0.116,0.215,0.254,0.273,0.232,0.256,0.24,0.288,0.266,0.258,0.266
0.566,0.27,0.402,0.384,0.38,0.264,0.134,0.184,0.207,0.363,0.274,0.395,0.171,0.376,0.308
0.55,0.229,0.397,0.374,0.341,0.251,0.07,0.164,0.165,0.351,0.265,0.357,0.099,0.368,0.31
0.588,0.246,0.396,0.373,0.375,0.256,0.087,0.138,0.178,0.318,0.246,0.341,0.116,0.386,0.288
0.553,0.228,0.401,0.379,0.344,0.241,0.096,0.157,0.198,0.336,0.268,0.348,0.132,0.346,0.316
0.52,0.174,0.322,0.315,0.29,0.208,0.061,0.112,0.157,0.293,0.21,0.304,0.084,0.328,0.25
0.425,0.106,0.26,0.26,0.182,0.192,0.078,0.136,0.13,0.29,0.183,0.273,0.104,0.272,0.214
0.478,0.152,0.299,0.294,0.246,0.212,0.068,0.144,0.137,0.296,0.197,0.33,0.099,0.304,0.239
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.29,0.045,0.263,0.239,0.094,0.196,0.251,0.256,0.239,0.248,0.227,0.273,0.258,0.241,0.254
0.416,0.102,0.259,0.261,0.185,0.194,0.086,0.147,0.173,0.304,0.175,0.246,0.12,0.27,0.216
0.569,0.245,0.4,0.387,0.363,0.282,0.099,0.198,0.193,0.345,0.277,0.386,0.137,0.378,0.319
0.553,0.228,0.401,0.379,0.344,0.241,0.096,0.157,0.198,0.336,0.268,0.348,0.132,0.346,0.316
0.572,0.238,0.389,0.373,0.352,0.258,0.082,0.141,0.174,0.311,0.259,0.332,0.119,0.356,0.309
0.555,0.22,0.385,0.372,0.332,0.24,0.08,0.172,0.187,0.33,0.263,0.357,0.117,0.368,0.298
0.625,0.277,0.382,0.37,0.411,0.272,0.105,0.151,0.173,0.335,0.254,0.378,0.143,0.411,0.268
0.54,0.223,0.38,0.356,0.328,0.253,0.121,0.179,0.232,0.38,0.27,0.403,0.153,0.345,0.317
0.37,0.088,0.215,0.22,0.149,0.172,0.073,0.134,0.101,0.28,0.158,0.183,0.102,0.234,0.179
0.544,0.2,0.361,0.347,0.308,0.225,0.062,0.138,0.172,0.298,0.218,0.32,0.093,0.331,0.28
0.546,0.208,0.377,0.357,0.327,0.217,0.073,0.119,0.156,0.305,0.238,0.31,0.107,0.344,0.281
0.573,0.224,0.385,0.368,0.345,0.231,0.072,0.129,0.163,0.324,0.248,0.322,0.108,0.376,0.29
0.267,0.064,0.138,0.14,0.098,0.118,0.086,0.103,0.111,0.208,0.099,0.146,0.104,0.163,0.11
0.462,0.149,0.287,0.287,0.234,0.178,0.051,0.113,0.143,0.292,0.19,0.303,0.07,0.276,0.236
0.558,0.212,0.366,0.344,0.335,0.244,0.074,0.149,0.173,0.314,0.253,0.326,0.112,0.354,0.284
0.515,0.179,0.314,0.304,0.277,0.228,0.078,0.135,0.107,0.323,0.201,0.314,0.113,0.327,0.234
0.487,0.164,0.31,0.304,0.26,0.214,0.083,0.152,0.149,0.313,0.215,0.345,0.108,0.31,0.24
0.533,0.177,0.319,0.307,0.286,0.208,0.072,0.114,0.206,0.293,0.196,0.29,0.107,0.341,0.236
0.556,0.2,0.383,0.368,0.331,0.242,0.064,0.137,0.164,0.308,0.253,0.334,0.101,0.36,0.293
0.42,0.092,0.256,0.256,0.173,0.182,0.062,0.109,0.15,0.286,0.16,0.286,0.088,0.262,0.2
0.242,0.038,0.212,0.195,0.068,0.156,0.207,0.213,0.198,0.204,0.193,0.221,0.217,0.193,0.211
0.534,0.194,0.351,0.336,0.31,0.225,0.05,0.126,0.149,0.302,0.221,0.303,0.08,0.336,0.28
0.447,0.139,0.271,0.276,0.225,0.173,0.053,0.115,0.142,0.269,0.191,0.271,0.074,0.267,0.22
0.514,0.159,0.353,0.34,0.27,0.268,0.101,0.177,0.179,0.338,0.236,0.367,0.152,0.345,0.29
0.587,0.242,0.407,0.386,0.372,0.26,0.08,0.131,0.152,0.313,0.265,0.329,0.117,0.377,0.314
0.567,0.245,0.394,0.372,0.364,0.25,0.082,0.146,0.204,0.316,0.264,0.338,0.114,0.368,0.302
0.482,0.154,0.281,0.29,0.253,0.19,0.047,0.109,0.16,0.286,0.184,0.241,0.069,0.286,0.222
0.562,0.238,0.379,0.36,0.354,0.253,0.084,0.165,0.181,0.301,0.247,0.332,0.116,0.356,0.294
0.568,0.262,0.412,0.386,0.379,0.253,0.093,0.153,0.217,0.323,0.276,0.362,0.134,0.378,0.313
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.309,0.069,0.277,0.257,0.115,0.22,0.238,0.269,0.216,0.25,0.243,0.289,0.257,0.248,0.268
0.462,0.111,0.291,0.286,0.201,0.223,0.092,0.154,0.169,0.322,0.197,0.259,0.125,0.305,0.236
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.584,0.264,0.4,0.383,0.38,0.259,0.104,0.166,0.184,0.316,0.255,0.34,0.139,0.376,0.298
0.535,0.182,0.349,0.341,0.302,0.262,0.096,0.163,0.168,0.344,0.248,0.359,0.136,0.352,0.279
0.589,0.24,0.377,0.356,0.378,0.257,0.098,0.134,0.17,0.315,0.243,0.351,0.141,0.376,0.285
0.553,0.257,0.409,0.384,0.359,0.238,0.086,0.169,0.196,0.329,0.26,0.347,0.119,0.336,0.317
0.397,0.113,0.248,0.243,0.179,0.197,0.082,0.134,0.138,0.279,0.16,0.207,0.119,0.263,0.201
0.516,0.178,0.345,0.342,0.293,0.237,0.08,0.165,0.147,0.344,0.24,0.384,0.114,0.329,0.284
0.522,0.183,0.335,0.324,0.295,0.222,0.061,0.127,0.146,0.308,0.199,0.305,0.088,0.333,0.257
0.559,0.235,0.388,0.366,0.343,0.245,0.092,0.16,0.173,0.328,0.263,0.368,0.114,0.355,0.296
0.564,0.208,0.364,0.349,0.337,0.237,0.088,0.131,0.16,0.287,0.23,0.317,0.12,0.353,0.267
0.327,0.073,0.238,0.233,0.124,0.186,0.171,0.216,0.151,0.282,0.193,0.31,0.198,0.232,0.225
0.555,0.22,0.385,0.372,0.332,0.24,0.08,0.172,0.187,0.33,0.263,0.357,0.117,0.368,0.298
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.561,0.214,0.364,0.344,0.326,0.241,0.076,0.144,0.168,0.311,0.23,0.337,0.11,0.358,0.272
0.516,0.15,0.32,0.311,0.254,0.272,0.104,0.179,0.186,0.336,0.214,0.324,0.153,0.35,0.251
0.353,0.099,0.288,0.277,0.151,0.237,0.203,0.274,0.183,0.292,0.207,0.323,0.247,0.256,0.265
0.56,0.244,0.369,0.355,0.356,0.244,0.081,0.15,0.17,0.313,0.26,0.304,0.118,0.35,0.294
0.49,0.168,0.333,0.321,0.268,0.218,0.068,0.149,0.116,0.283,0.212,0.296,0.095,0.32,0.258
0.351,0.07,0.192,0.197,0.122,0.154,0.081,0.101,0.162,0.254,0.133,0.2,0.102,0.23,0.153
0.458,0.143,0.283,0.278,0.226,0.182,0.059,0.134,0.143,0.28,0.194,0.278,0.079,0.279,0.233
0.565,0.259,0.396,0.372,0.36,0.24,0.081,0.138,0.172,0.309,0.264,0.334,0.109,0.349,0.29
0.596,0.254,0.418,0.396,0.39,0.266,0.087,0.158,0.174,0.324,0.278,0.371,0.124,0.395,0.33
0.553,0.235,0.361,0.345,0.349,0.227,0.09,0.121,0.186,0.316,0.244,0.339,0.126,0.353,0.274
0.412,0.133,0.274,0.269,0.206,0.185,0.102,0.178,0.158,0.307,0.195,0.305,0.134,0.258,0.229
